Date,AAPL,DIA,JNJ,JPM,QQQ,SPY,TSLA,WMT,XLE,XLF,XLK,XLP,XLV,XLY,XOM
2021-02-01,130.57888793945312,276.4834289550781,141.16539001464844,114.14684295654297,312.88543701171875,351.2018127441406,279.9366760253906,43.373504638671875,16.39063835144043,26.901504516601562,63.549827575683594,56.25189971923828,106.60485076904297,79.83132934570312,36.71356964111328
2021-02-02,131.40634155273438,280.8775329589844,139.89866638183594,117.66053009033203,317.9898986816406,356.1678771972656,290.92999267578125,43.840660095214844,16.568618774414062,27.552715301513672,64.41053771972656,56.62895584106445,106.90950775146484,81.52670288085938,37.293861389160156
2021-02-03,130.3842010498047,281.2803649902344,139.2479705810547,119.00788879394531,316.7284240722656,356.4479675292969,284.89666748046875,43.97456741333008,17.276397705078125,27.708641052246094,64.18934631347656,56.71664810180664,106.15247344970703,81.07044982910156,38.7568473815918
2021-02-04,133.74261474609375,284.40203857421875,140.5407257080078,121.74665069580078,320.4741516113281,360.4991760253906,283.3299865722656,44.3887825012207,17.4667911529541,28.323163986206055,65.21356964111328,57.12879180908203,106.59561920166016,81.93492889404297,39.50060272216797
2021-02-05,133.3282928466797,285.1986083984375,142.67495727539062,121.50885772705078,321.5610656738281,361.9180908203125,284.07666015625,44.95869827270508,17.615795135498047,28.33233642578125,65.0693130493164,57.6636848449707,106.78948974609375,82.71778869628906,40.82463455200195
2021-02-08,133.4745330810547,287.3497314453125,143.082763671875,123.41100311279297,323.71533203125,364.5318298339844,287.8066711425781,45.1673698425293,18.352550506591797,28.699216842651367,65.75212860107422,57.882896423339844,106.91875457763672,83.18846893310547,42.58185958862305
2021-02-09,132.59710693359375,287.37725830078125,144.25399780273438,122.91783905029297,323.6474609375,364.28912353515625,283.1533203125,45.41651916503906,18.158010482788086,28.708389282226562,65.67521667480469,57.83027648925781,107.07569122314453,82.72740173339844,42.0831413269043
2021-02-10,131.9926300048828,287.9081115722656,144.72251892089844,122.98831939697266,322.9100036621094,364.1304931640625,268.2733459472656,44.887081146240234,18.505695343017578,28.708389282226562,65.57902526855469,57.76889419555664,107.26956939697266,81.91091918945312,42.49042510986328
2021-02-11,131.73919677734375,288.0728454589844,144.07176208496094,122.64486694335938,324.685791015625,364.71856689453125,270.5533447265625,44.852813720703125,18.220094680786133,28.616668701171875,66.30029296875,57.51460647583008,107.47268676757812,81.68518829345703,41.4265022277832
2021-02-12,131.97314453125,288.4026184082031,144.52297973632812,124.38850402832031,326.5005798339844,366.5201416015625,272.0400085449219,44.992950439453125,18.4891357421875,28.910175323486328,66.64173126220703,57.60230255126953,108.27589416503906,81.80047607421875,41.99170684814453
2021-02-16,129.84786987304688,288.8968200683594,143.212890625,127.3825912475586,325.6174621582031,366.2027893066406,265.40667724609375,45.36356735229492,18.95270538330078,29.405460357666016,66.42533874511719,57.4970703125,107.20494842529297,81.44505310058594,43.255123138427734
2021-02-17,127.55683135986328,289.8304748535156,143.72476196289062,127.77894592285156,324.0550231933594,366.28680419921875,266.04998779296875,45.84318161010742,19.234169006347656,29.552213668823242,65.83868408203125,57.70751190185547,107.59271240234375,81.91572570800781,43.92838668823242
2021-02-18,126.45518493652344,288.8785400390625,143.794189453125,128.21041870117188,322.6382141113281,364.7279052734375,262.4599914550781,42.872093200683594,18.799560546875,29.37794303894043,65.51653289794922,57.67245101928711,106.91875457763672,81.93972778320312,43.23849868774414
2021-02-19,126.61116790771484,288.8428039550781,141.39962768554688,130.35035705566406,321.2311706542969,364.0837707519531,260.4333190917969,43.083866119384766,19.114137649536133,29.726484298706055,65.42033386230469,56.944637298583984,105.6262435913086,81.46427154541016,43.529415130615234
2021-02-22,122.83827209472656,289.10870361328125,141.3123321533203,131.5744171142578,312.90478515625,361.2833251953125,238.1666717529297,42.881431579589844,19.77638053894043,30.00164222717285,63.977779388427734,56.997249603271484,105.376953125,79.74486541748047,45.13360595703125
2021-02-23,122.70179748535156,289.2738342285156,140.06396484375,132.6311492919922,311.9732666015625,361.7220458984375,232.94667053222656,42.1900520324707,20.103363037109375,30.185077667236328,63.799861907958984,57.0761604309082,105.2015380859375,79.22137451171875,45.75699234008789
2021-02-24,122.20458984375,293.0711975097656,141.94091796875,134.96481323242188,314.544921875,365.7079772949219,247.33999633789062,41.4862060546875,20.815284729003906,30.772079467773438,64.77600860595703,57.041099548339844,105.93089294433594,80.05225372314453,47.12846374511719
2021-02-25,117.95399475097656,287.9806213378906,142.08929443359375,133.13311767578125,303.5790100097656,356.8959655761719,227.4066619873047,41.09380340576172,20.413793563842773,30.21259880065918,62.51116943359375,56.41851043701172,104.86918640136719,77.07453918457031,46.34714889526367
2021-02-26,118.21721649169922,283.8257141113281,138.33541870117188,129.60182189941406,304.8503112792969,355.0570373535156,225.1666717529297,40.46158218383789,19.929529190063477,29.634767532348633,62.84296417236328,55.50654983520508,103.96443939208984,77.39632415771484,45.191795349121094
